;approval;gender;usia; pinjaman;tenor;pemasukan;tanggungan;pekerjaan
2915;N;M;72;1400000;6;2000000;2;Wirausaha
2916;N;M;52;3000000;10;1500000;3;Pedagang
2917;Y;F;43;700000;10;4800000;4;Pekerja Lepas
2918;Y;M;73;500000;20;4500000;1;Pedagang
2919;Y;F;38;3000000;4;4000000;5;Pedagang
2920;Y;M;33;3000000;3;2500000;3;Wirausaha
2921;N;M;55;1900000;12;4600000;5;Guru/Dosen
2922;N;F;82;3000000;4;1800000;0;Pekerja Lepas
2923;N;F;24;1000000;10;2300000;4;Guru/Dosen
2924;Y;F;83;700000;12;2500000;5;Pedagang
2925;Y;F;49;500000;5;5000000;4;Wirausaha
2926;Y;M;52;1200000;10;3500000;5;Wirausaha
2927;Y;M;76;2000000;8;4500000;3;Pedagang
2928;N;M;88;1500000;20;1200000;0;Wirausaha
2929;Y;F;55;2000000;3;3000000;2;Pedagang
2930;Y;F;82;1400000;16;2300000;4;Wirausaha
2931;Y;F;52;1600000;12;4600000;1;Pedagang
2932;Y;F;64;1800000;4;2300000;4;Wirausaha
2933;Y;M;73;1400000;4;3000000;1;Pedagang
2934;N;M;99;1200000;10;4800000;3;Buruh
2935;Y;F;74;1600000;4;4500000;0;Pekerja Lepas
2936;Y;M;87;1000000;20;4600000;5;Pekerja Lepas
2937;N;M;69;500000;16;1200000;0;Wirausaha
2938;N;M;71;1600000;4;4800000;2;Buruh
2939;Y;M;27;1800000;8;4600000;0;Pedagang
2940;Y;F;52;1200000;5;4600000;4;Pekerja Lepas
2941;Y;F;57;3000000;4;4600000;5;Wirausaha
2942;Y;M;90;1500000;16;4800000;2;Pedagang
2943;N;F;86;1500000;16;1500000;2;Guru/Dosen
2944;N;F;80;500000;8;2000000;0;Buruh
2945;N;M;23;1000000;10;2500000;2;Guru/Dosen
2946;N;M;83;1600000;10;1800000;4;Guru/Dosen
2947;N;M;67;1400000;6;1800000;1;Pedagang
2948;N;F;79;3000000;20;4600000;4;Buruh
2949;Y;M;20;700000;16;4800000;0;Pekerja Lepas
2950;Y;M;67;3000000;20;4000000;4;Wirausaha
2951;N;M;34;2000000;10;1800000;3;Wirausaha
2952;N;M;52;500000;10;1200000;3;Pekerja Lepas
2953;N;M;47;1900000;4;3000000;5;Buruh
2954;Y;F;55;3000000;4;4600000;4;Pekerja Lepas
2955;N;M;95;500000;3;2000000;2;Pedagang
2956;N;M;46;1800000;20;2000000;5;Guru/Dosen
2957;Y;F;91;1400000;10;4500000;1;Wirausaha
2958;N;M;59;700000;20;5000000;3;Guru/Dosen
2959;Y;M;30;500000;12;4000000;1;Wirausaha
2960;N;F;61;500000;20;3000000;4;Buruh
2961;Y;M;78;3000000;4;5000000;5;Pedagang
2962;Y;F;44;1200000;20;4000000;2;Wirausaha
2963;N;M;91;1400000;12;1200000;5;Wirausaha
2964;Y;F;50;1200000;3;2300000;0;Wirausaha
2965;Y;F;41;1200000;8;5000000;3;Pedagang
2966;N;F;82;500000;16;4600000;0;Guru/Dosen
2967;Y;F;70;2500000;12;3000000;2;Wirausaha
2968;N;M;75;1200000;16;4600000;0;Guru/Dosen
2969;N;M;83;2500000;16;2300000;1;Buruh
2970;N;M;43;1900000;4;2000000;4;Guru/Dosen
2971;N;M;79;1200000;10;2500000;0;Buruh
2972;N;M;32;700000;20;4400000;4;Guru/Dosen
2973;N;M;56;500000;5;1800000;4;Pekerja Lepas
2974;N;F;88;500000;5;1200000;5;Guru/Dosen
2975;N;F;60;1800000;4;2000000;1;Buruh
2976;N;M;97;1900000;5;3500000;5;Buruh
2977;N;M;49;1200000;20;1500000;4;Guru/Dosen
2978;Y;M;52;1500000;8;4600000;4;Pekerja Lepas
2979;N;M;53;1600000;8;1800000;5;Wirausaha
2980;Y;M;20;2500000;6;4400000;3;Pekerja Lepas
2981;Y;M;30;2000000;20;4500000;4;Pedagang
2982;Y;F;21;1000000;8;4400000;5;Pekerja Lepas
2983;Y;F;56;1500000;3;4000000;4;Pedagang
2984;Y;M;89;1800000;12;4000000;4;Pedagang
2985;Y;M;48;1900000;5;4800000;4;Pedagang
2986;N;F;45;1200000;10;4500000;5;Guru/Dosen
2987;Y;M;38;1500000;6;4500000;2;Pekerja Lepas
2988;Y;F;72;500000;20;5000000;5;Pekerja Lepas
2989;Y;M;22;1600000;20;5000000;4;Pedagang
2990;N;M;39;1600000;6;3500000;2;Guru/Dosen
2991;N;F;41;1800000;20;4500000;2;Guru/Dosen
2992;N;F;54;500000;16;3500000;2;Buruh
2993;Y;M;27;1600000;10;4600000;5;Wirausaha
2994;Y;F;57;1500000;4;4000000;5;Pekerja Lepas
2995;Y;F;53;500000;10;4600000;0;Guru/Dosen
2996;N;M;74;1200000;4;2500000;2;Buruh
2997;N;M;30;3000000;10;1200000;1;Buruh
2998;Y;M;97;700000;8;2500000;4;Wirausaha
2999;N;M;33;700000;8;1800000;5;Pekerja Lepas
3000;N;M;62;1200000;6;1200000;3;Buruh
3001;Y;M;42;700000;10;3500000;2;Pekerja Lepas
3002;Y;F;52;2500000;4;3500000;0;Wirausaha
3003;N;M;76;1900000;6;2300000;3;Buruh
3004;Y;M;77;1900000;10;4600000;5;Pekerja Lepas
3005;N;M;51;1200000;10;1200000;1;Guru/Dosen
3006;Y;F;36;1200000;3;2500000;0;Guru/Dosen
3007;Y;M;64;3000000;16;4000000;4;Pekerja Lepas
3008;N;M;26;700000;20;2000000;4;Pedagang
3009;Y;F;67;1600000;3;5000000;5;Pedagang
3010;Y;M;30;700000;5;4400000;1;Pedagang
3011;Y;F;68;1900000;3;3000000;4;Pedagang
3012;Y;F;38;1900000;4;4400000;3;Wirausaha
3013;N;M;72;1900000;6;1500000;2;Pekerja Lepas
3014;Y;M;65;700000;16;2300000;2;Pedagang
3015;N;M;73;2000000;10;1800000;3;Guru/Dosen
3016;Y;F;20;500000;8;5000000;0;Guru/Dosen
3017;N;M;34;1200000;10;2000000;0;Guru/Dosen
3018;N;M;53;500000;12;2500000;2;Buruh
3019;N;M;85;2500000;20;2300000;1;Guru/Dosen
3020;N;M;93;1400000;5;1800000;3;Pekerja Lepas
3021;N;F;100;700000;5;1200000;5;Pekerja Lepas
3022;Y;M;43;1800000;4;4500000;5;Wirausaha
3023;Y;M;49;2000000;16;4600000;3;Wirausaha
3024;N;M;80;2500000;3;4500000;4;Buruh
3025;N;F;48;1000000;4;4500000;3;Guru/Dosen
3026;N;F;62;500000;8;3500000;4;Guru/Dosen
3027;Y;M;30;1200000;10;5000000;3;Pedagang
3028;N;M;85;3000000;10;2300000;0;Buruh
3029;N;M;98;2500000;10;2000000;1;Wirausaha
3030;Y;F;58;2500000;4;2500000;2;Pedagang
3031;Y;M;20;1000000;5;2300000;5;Wirausaha
3032;Y;M;96;2500000;4;3500000;1;Pedagang
3033;N;M;80;3000000;3;1200000;5;Guru/Dosen
3034;N;M;40;1200000;10;2000000;3;Wirausaha
3035;Y;M;74;1600000;20;4400000;3;Pedagang
3036;Y;M;36;1400000;12;3000000;5;Pekerja Lepas
3037;Y;F;60;1500000;5;2300000;3;Pedagang
3038;Y;M;48;1900000;8;4800000;0;Pekerja Lepas
3039;N;M;80;500000;10;2000000;4;Pedagang
3040;Y;M;65;1500000;8;4400000;5;Pedagang
3041;N;F;86;2500000;3;2300000;4;Buruh
3042;N;M;57;2000000;20;4800000;3;Buruh
3043;N;M;60;2000000;5;2300000;5;Buruh
3044;Y;M;66;1800000;4;3500000;0;Wirausaha
3045;N;M;43;2500000;4;2500000;1;Guru/Dosen
3046;N;F;79;1200000;4;2300000;0;Guru/Dosen
3047;Y;F;41;1400000;5;3000000;2;Pekerja Lepas
3048;N;M;86;1200000;12;3000000;0;Buruh
3049;N;M;66;1600000;6;2300000;2;Guru/Dosen
3050;N;M;75;2000000;12;1800000;1;Buruh
3051;Y;M;27;1900000;6;4600000;3;Pedagang
3052;N;F;89;1200000;4;1200000;1;Pedagang
3053;N;M;34;500000;20;4000000;3;Buruh
3054;Y;M;65;1200000;3;5000000;1;Wirausaha
3055;N;M;31;1200000;3;2000000;2;Guru/Dosen
3056;N;M;49;2500000;16;2300000;1;Guru/Dosen
3057;N;M;27;3000000;20;2300000;2;Guru/Dosen
3058;N;M;81;700000;10;5000000;4;Buruh
3059;Y;F;66;2000000;10;3000000;0;Wirausaha
3060;N;M;22;2500000;10;1500000;1;Buruh
3061;N;M;88;3000000;6;1200000;4;Buruh
3062;Y;M;93;1200000;10;4500000;3;Pekerja Lepas
3063;N;M;96;2000000;12;1200000;3;Pedagang
3064;Y;F;78;1200000;5;4000000;3;Wirausaha
3065;Y;F;28;3000000;10;4500000;1;Guru/Dosen
3066;Y;F;87;1200000;10;4600000;1;Pedagang
3067;N;F;71;1500000;3;1200000;2;Buruh
3068;N;F;46;1600000;16;2000000;4;Guru/Dosen
3069;N;M;55;2000000;12;1200000;2;Guru/Dosen
3070;N;M;25;700000;4;2000000;4;Wirausaha
3071;Y;M;93;500000;16;4000000;4;Pedagang
3072;Y;F;91;1400000;3;4400000;5;Wirausaha
3073;N;M;52;2000000;20;2000000;4;Pedagang
3074;Y;M;32;1800000;8;3000000;1;Wirausaha
3075;N;M;91;2000000;10;2000000;5;Buruh
3076;Y;M;22;2000000;10;5000000;5;Pekerja Lepas
3077;N;M;20;700000;20;1500000;5;Wirausaha
3078;N;M;99;1000000;4;4800000;2;Guru/Dosen
3079;N;M;74;1000000;20;4800000;2;Buruh
3080;Y;F;40;1000000;4;4000000;1;Guru/Dosen
3081;N;F;88;1200000;10;1200000;3;Pedagang
3082;Y;F;43;500000;20;2300000;5;Pekerja Lepas
3083;Y;F;59;1400000;8;4000000;2;Wirausaha
3084;Y;M;36;1200000;8;3500000;5;Pedagang
3085;Y;M;84;3000000;12;2500000;3;Wirausaha
3086;Y;F;98;1500000;3;3000000;1;Pekerja Lepas
3087;N;M;31;1000000;3;4600000;2;Guru/Dosen
3088;N;M;43;1500000;16;4500000;3;Buruh
3089;Y;F;70;1400000;3;2300000;0;Pekerja Lepas
3090;Y;M;44;1200000;5;2300000;2;Pedagang
3091;N;F;55;2500000;5;4400000;3;Guru/Dosen
3092;Y;M;39;2500000;5;3000000;4;Pekerja Lepas
3093;N;M;54;3000000;10;1500000;1;Buruh
3094;N;M;53;1000000;8;1500000;4;Guru/Dosen
3095;Y;F;54;1200000;16;4600000;2;Wirausaha
3096;Y;M;40;1200000;16;3000000;5;Wirausaha
3097;Y;M;77;500000;12;4000000;4;Wirausaha
3098;Y;F;65;1400000;8;2300000;3;Wirausaha
3099;Y;M;32;700000;4;2500000;1;Wirausaha
3100;N;M;48;500000;8;4000000;1;Guru/Dosen
3101;Y;F;83;1200000;4;3000000;0;Wirausaha
3102;Y;M;81;1400000;5;4400000;5;Pekerja Lepas
3103;Y;M;83;1200000;20;3000000;5;Wirausaha
3104;Y;F;53;1500000;20;4500000;2;Pekerja Lepas
3105;N;F;69;1200000;8;4400000;1;Buruh
3106;N;M;30;2500000;5;1200000;0;Wirausaha
3107;Y;F;39;700000;4;4800000;2;Guru/Dosen
3108;N;F;75;1000000;10;2500000;5;Guru/Dosen
3109;Y;M;59;2500000;10;4800000;0;Pedagang
3110;N;M;68;2500000;4;1800000;1;Pedagang
3111;N;M;59;1500000;10;4800000;5;Guru/Dosen
3112;Y;M;57;1600000;12;2300000;5;Pekerja Lepas
3113;Y;F;31;500000;10;4000000;0;Pedagang
3114;Y;M;84;1200000;3;4600000;0;Pedagang
3115;Y;M;68;1900000;5;3500000;3;Pedagang
3116;Y;M;71;1500000;10;4000000;5;Pekerja Lepas
3117;Y;M;71;1500000;4;3000000;3;Pedagang
3118;N;F;80;1900000;4;4800000;1;Guru/Dosen
3119;N;M;42;500000;12;1500000;5;Pekerja Lepas
3120;N;M;47;3000000;4;4500000;4;Buruh
3121;N;F;89;1800000;5;2000000;2;Pekerja Lepas
3122;N;M;23;3000000;8;1800000;2;Wirausaha
3123;N;F;63;1200000;4;2300000;5;Buruh
3124;N;F;59;1900000;16;1800000;1;Guru/Dosen
3125;N;M;53;500000;20;5000000;4;Guru/Dosen
3126;Y;M;27;700000;4;3500000;1;Pedagang
3127;Y;M;92;1200000;6;2300000;1;Pedagang
3128;Y;M;98;2000000;12;3500000;3;Pedagang
3129;Y;M;28;1200000;6;2300000;4;Pedagang
3130;Y;M;50;500000;16;3500000;3;Pekerja Lepas
3131;N;M;70;1600000;5;3500000;2;Guru/Dosen
3132;N;M;33;3000000;10;1500000;2;Guru/Dosen
3133;N;M;92;1800000;16;1800000;3;Pekerja Lepas
3134;Y;M;40;1900000;3;2300000;4;Pedagang
3135;Y;M;30;1200000;10;4400000;0;Buruh
3136;N;M;80;1600000;4;2000000;1;Pedagang
3137;Y;M;68;1800000;16;4600000;0;Wirausaha
3138;Y;F;21;1200000;3;4600000;4;Wirausaha
3139;N;M;97;1400000;5;1500000;0;Buruh
3140;Y;F;81;500000;3;5000000;5;Pedagang
3141;N;F;28;1500000;4;1200000;3;Pedagang
3142;Y;F;96;500000;20;2500000;5;Pekerja Lepas
3143;Y;M;20;1200000;20;5000000;4;Pedagang
3144;Y;F;93;500000;3;2300000;1;Pekerja Lepas
3145;Y;M;46;700000;10;4600000;1;Buruh
3146;N;M;21;1800000;4;1800000;0;Pekerja Lepas
3147;N;M;23;3000000;5;1500000;0;Pedagang
3148;Y;M;84;500000;5;3500000;1;Pedagang
3149;N;F;48;500000;10;1200000;5;Guru/Dosen
3150;N;M;70;1600000;20;1500000;5;Pedagang
3151;Y;M;46;1000000;6;4800000;1;Wirausaha
3152;Y;F;56;1200000;5;2300000;4;Pekerja Lepas
3153;N;M;65;500000;6;4500000;4;Buruh
3154;Y;M;85;500000;3;5000000;1;Pedagang
3155;Y;F;21;500000;8;4500000;5;Pekerja Lepas
3156;Y;F;75;3000000;10;4000000;3;Pedagang
3157;Y;M;82;1800000;10;3000000;2;Pedagang
3158;N;F;38;1200000;5;1500000;3;Wirausaha
3159;N;M;83;1900000;4;2500000;0;Buruh
3160;Y;M;68;1500000;6;3500000;5;Pekerja Lepas
3161;Y;M;100;1000000;10;4400000;3;Pedagang
3162;N;M;51;1200000;12;2000000;2;Wirausaha
3163;N;F;20;500000;8;1200000;5;Wirausaha
3164;N;M;35;3000000;8;2000000;3;Wirausaha
3165;N;F;58;2500000;8;1800000;4;Wirausaha
3166;Y;F;21;1000000;6;4800000;1;Pedagang
3167;N;F;86;1600000;10;1800000;1;Pekerja Lepas
3168;N;F;60;500000;12;2000000;5;Pekerja Lepas
3169;Y;M;55;2500000;4;4800000;3;Pedagang
3170;Y;M;35;1800000;10;3000000;1;Wirausaha
3171;Y;M;27;1600000;4;3500000;5;Pedagang
3172;Y;M;80;700000;3;2300000;4;Wirausaha
3173;N;M;84;1400000;10;1200000;1;Pedagang
3174;N;M;67;1200000;6;4400000;2;Buruh
3175;Y;M;35;3000000;5;5000000;3;Pedagang
3176;N;M;25;1500000;4;1200000;4;Guru/Dosen
3177;Y;M;54;500000;10;4400000;3;Pedagang
3178;N;F;90;1500000;4;2300000;0;Guru/Dosen
3179;N;F;42;500000;5;1500000;2;Pekerja Lepas
3180;N;F;70;1200000;8;2000000;4;Wirausaha
3181;Y;F;87;1400000;4;5000000;0;Wirausaha
3182;Y;F;25;1200000;20;4800000;1;Pekerja Lepas
3183;Y;F;100;1200000;3;4500000;1;Pekerja Lepas
3184;N;M;57;2500000;10;1500000;4;Buruh
3185;Y;M;70;500000;16;3500000;3;Pedagang
3186;Y;M;76;500000;3;5000000;1;Pedagang
3187;N;M;36;500000;5;4000000;1;Buruh
3188;N;M;28;500000;12;1200000;5;Buruh
3189;Y;M;42;1800000;10;4600000;4;Pekerja Lepas
3190;N;M;61;500000;12;4500000;2;Guru/Dosen
3191;Y;F;60;1000000;4;4000000;2;Pekerja Lepas
3192;Y;F;50;1200000;5;3500000;0;Wirausaha
3193;Y;M;100;1500000;16;5000000;0;Pedagang
3194;Y;M;36;1800000;8;4600000;2;Wirausaha
3195;Y;M;67;1600000;20;2300000;5;Pedagang
3196;N;F;49;1400000;8;2000000;2;Guru/Dosen
3197;Y;F;98;1200000;4;4600000;5;Pedagang
3198;N;M;52;1600000;8;3000000;2;Buruh
3199;N;M;98;1200000;6;1200000;0;Pedagang
3200;Y;M;48;3000000;20;4000000;4;Pedagang
3201;N;F;93;1200000;8;1200000;0;Guru/Dosen
3202;N;M;34;700000;16;1200000;5;Guru/Dosen
3203;Y;M;41;500000;16;4500000;2;Wirausaha
3204;N;M;27;2500000;3;1500000;1;Wirausaha
3205;Y;M;91;2500000;3;4600000;5;Pekerja Lepas
3206;Y;M;48;1200000;3;4000000;0;Guru/Dosen
3207;N;M;55;1600000;4;1800000;1;Pedagang
3208;Y;M;24;1600000;6;4400000;3;Pekerja Lepas
3209;Y;M;35;700000;12;2500000;2;Pedagang
3210;Y;M;80;1200000;6;2300000;5;Pedagang
3211;N;F;56;1600000;8;1500000;0;Buruh
3212;Y;M;26;1200000;10;4000000;4;Wirausaha
3213;N;F;90;500000;5;4800000;3;Guru/Dosen
3214;N;M;22;1400000;10;2000000;2;Pekerja Lepas
3215;N;M;51;1900000;4;2500000;2;Guru/Dosen
3216;N;M;67;700000;5;1800000;3;Pedagang
3217;N;M;62;1200000;20;4400000;5;Buruh
3218;N;M;47;700000;8;2000000;1;Pekerja Lepas
3219;Y;M;94;2000000;6;2300000;4;Pedagang
3220;Y;F;97;2000000;4;2300000;5;Wirausaha
3221;N;M;26;500000;4;4500000;4;Guru/Dosen
3222;Y;M;66;500000;8;3000000;1;Wirausaha
3223;Y;M;31;1000000;16;4400000;0;Guru/Dosen
3224;Y;F;65;500000;10;4500000;1;Wirausaha
3225;Y;F;73;1600000;5;4000000;3;Wirausaha
3226;N;F;51;700000;5;4000000;2;Guru/Dosen
3227;N;M;89;1600000;20;1200000;4;Buruh
3228;N;F;76;1600000;4;1800000;3;Guru/Dosen
3229;N;M;42;1400000;12;4600000;4;Buruh
3230;N;M;67;1000000;5;4500000;0;Guru/Dosen
3231;N;M;94;1900000;3;1500000;4;Guru/Dosen
3232;N;M;63;1800000;10;4000000;5;Guru/Dosen
3233;N;F;40;3000000;3;1200000;4;Pedagang
3234;Y;F;56;1200000;3;4800000;2;Pedagang
3235;N;M;47;1200000;20;2000000;0;Pedagang
3236;Y;M;69;1000000;3;4800000;0;Pedagang
3237;N;M;82;500000;4;5000000;0;Buruh
3238;N;M;41;1200000;8;2500000;5;Buruh
3239;Y;M;96;1800000;8;3000000;0;Wirausaha
3240;Y;M;37;1800000;10;4800000;3;Pedagang
3241;N;F;77;1200000;4;1500000;5;Pedagang
3242;N;M;34;1200000;12;2000000;1;Pedagang
3243;N;M;22;500000;16;1500000;1;Wirausaha
3244;Y;M;25;1800000;6;2500000;2;Pedagang
3245;Y;M;32;1200000;20;2500000;2;Pedagang
3246;N;M;54;2000000;6;4800000;4;Guru/Dosen
3247;Y;M;30;1000000;10;3500000;4;Pedagang
3248;N;F;85;1200000;10;4800000;0;Guru/Dosen
3249;N;M;75;1000000;12;1500000;5;Buruh
3250;Y;M;38;2000000;4;4500000;2;Pedagang
3251;Y;F;52;700000;5;3000000;0;Guru/Dosen
3252;Y;F;36;2000000;4;3000000;2;Wirausaha
3253;Y;M;76;1600000;5;4600000;3;Wirausaha
3254;N;M;94;1800000;12;1500000;0;Pedagang
3255;N;F;38;1200000;4;2000000;2;Buruh
3256;Y;M;70;1200000;4;4400000;1;Pekerja Lepas
3257;N;F;67;500000;8;1200000;2;Pekerja Lepas
3258;N;F;64;3000000;10;4600000;0;Buruh
3259;Y;M;65;3000000;4;4000000;3;Wirausaha
3260;Y;M;77;1500000;4;3000000;0;Wirausaha
3261;N;M;70;1200000;4;4800000;4;Guru/Dosen
3262;N;F;69;500000;10;4400000;4;Guru/Dosen
3263;Y;F;37;500000;4;4800000;5;Wirausaha
3264;N;M;79;1900000;10;2300000;3;Guru/Dosen
3265;Y;M;22;1400000;5;5000000;0;Guru/Dosen
3266;Y;M;33;1800000;10;4500000;4;Pedagang
3267;Y;M;95;1800000;8;2500000;3;Pekerja Lepas
3268;N;M;40;2000000;6;4600000;3;Buruh
3269;N;F;100;1800000;6;1800000;5;Pedagang
3270;N;M;28;2000000;8;1500000;2;Buruh
3271;Y;M;85;1600000;12;4000000;0;Pedagang
3272;Y;M;86;1200000;3;2500000;3;Pedagang
3273;Y;F;64;1800000;4;4000000;1;Pedagang
3274;N;F;81;1400000;4;2300000;5;Buruh
3275;N;F;62;1200000;4;1200000;0;Wirausaha
3276;Y;M;53;2000000;6;3000000;3;Pekerja Lepas
3277;N;M;91;2500000;20;4000000;1;Buruh
3278;N;F;48;1400000;3;2300000;2;Guru/Dosen
3279;Y;M;97;3000000;8;5000000;5;Pedagang
3280;N;F;89;2500000;8;1800000;3;Pekerja Lepas
3281;N;F;40;1500000;10;2000000;0;Pedagang
3282;N;F;36;1900000;10;3500000;5;Buruh
3283;Y;F;93;1200000;20;2300000;1;Pedagang
3284;N;M;71;1800000;12;4600000;0;Buruh
3285;N;M;51;1400000;20;1200000;0;Pedagang
3286;Y;M;75;1400000;10;5000000;4;Wirausaha
3287;Y;M;51;700000;12;2300000;2;Pedagang
3288;N;M;43;1600000;6;4400000;2;Guru/Dosen
3289;N;M;46;1600000;3;1500000;3;Pekerja Lepas
3290;N;M;95;1200000;8;1800000;1;Wirausaha
3291;N;M;76;500000;3;3500000;4;Buruh
3292;N;M;62;1500000;3;4500000;1;Buruh
3293;N;F;80;1800000;5;1500000;3;Pekerja Lepas
3294;N;M;69;500000;12;1200000;0;Buruh
3295;Y;F;74;1400000;20;2300000;3;Pedagang
3296;N;M;74;1400000;10;1800000;0;Pedagang
3297;Y;M;73;1200000;16;4000000;2;Pedagang
3298;Y;M;24;500000;3;2500000;1;Pedagang
3299;Y;F;29;1200000;20;3500000;5;Pekerja Lepas
3300;Y;M;37;2500000;16;4400000;0;Wirausaha
3301;Y;M;93;3000000;10;4500000;0;Pedagang
3302;Y;M;72;1800000;8;2500000;2;Pekerja Lepas
3303;Y;M;28;2500000;8;4600000;5;Pedagang
3304;N;M;48;1900000;3;1800000;5;Buruh
3305;Y;F;63;1500000;4;4600000;1;Wirausaha
3306;N;M;59;1600000;8;2000000;2;Pekerja Lepas
3307;Y;F;60;700000;6;4400000;0;Guru/Dosen
3308;Y;M;31;2500000;6;4500000;5;Wirausaha
3309;N;F;91;1200000;3;4600000;4;Buruh
3310;N;M;73;1000000;6;2300000;1;Guru/Dosen
3311;Y;F;45;700000;4;3000000;0;Pekerja Lepas
3312;N;F;77;1500000;5;4500000;1;Guru/Dosen
3313;N;M;54;1200000;6;2300000;3;Guru/Dosen
3314;N;M;60;3000000;3;2000000;5;Pedagang
3315;N;M;76;1200000;16;1800000;1;Pedagang
3316;N;M;90;700000;12;1800000;1;Pekerja Lepas
3317;Y;M;89;2500000;5;5000000;5;Pekerja Lepas
3318;N;M;62;1200000;6;3500000;2;Buruh
3319;Y;M;36;1200000;3;4800000;3;Pedagang
3320;Y;M;97;500000;3;4500000;4;Pedagang
3321;N;M;51;2000000;4;1500000;2;Pekerja Lepas
3322;Y;M;58;1500000;3;2300000;3;Pedagang
3323;Y;M;60;2000000;4;4500000;4;Pedagang
3324;Y;M;39;1200000;20;2300000;0;Wirausaha
3325;N;M;22;1800000;10;3000000;3;Buruh
3326;Y;F;58;700000;3;5000000;5;Pedagang
3327;Y;F;91;1200000;12;3500000;5;Pedagang
3328;N;M;51;1600000;5;1500000;0;Pedagang
3329;N;F;57;1200000;12;1200000;5;Guru/Dosen
3330;Y;M;77;1800000;10;4000000;5;Pedagang
3331;N;F;23;2000000;12;1200000;3;Pekerja Lepas
3332;Y;M;52;1400000;6;3500000;1;Pedagang
3333;N;M;61;1500000;10;2300000;0;Buruh
3334;N;M;92;500000;12;2300000;3;Buruh
3335;N;M;21;1400000;4;2500000;1;Buruh
3336;N;M;81;1600000;10;2000000;0;Pedagang
3337;Y;M;95;500000;16;5000000;5;Wirausaha
3338;Y;M;50;1400000;10;4500000;0;Buruh
3339;N;F;58;1200000;4;4600000;4;Buruh
3340;Y;F;91;1400000;5;4000000;4;Wirausaha
3341;Y;F;45;1200000;3;4600000;0;Guru/Dosen
3342;Y;F;81;500000;8;4500000;1;Pedagang
3343;N;F;28;500000;20;1800000;2;Wirausaha
3344;Y;M;49;1800000;3;4600000;1;Buruh
3345;N;F;50;1400000;20;2000000;1;Pedagang
3346;Y;M;84;1000000;8;2300000;0;Pedagang
3347;N;M;80;1900000;16;5000000;2;Buruh
3348;N;M;85;1400000;5;4400000;3;Guru/Dosen
3349;N;M;95;700000;10;2300000;4;Buruh
3350;Y;M;69;1200000;5;5000000;1;Pedagang
3351;Y;F;54;2000000;4;4800000;1;Pekerja Lepas
3352;Y;F;45;500000;10;4800000;0;Guru/Dosen
3353;Y;M;92;700000;4;5000000;1;Pedagang
3354;N;F;54;1500000;16;2000000;1;Wirausaha
3355;Y;F;37;500000;10;4600000;1;Guru/Dosen
3356;N;M;100;1800000;16;1800000;2;Pekerja Lepas
3357;Y;M;71;500000;10;4800000;2;Wirausaha
3358;Y;M;92;700000;3;4800000;3;Pekerja Lepas
3359;N;M;74;1200000;4;1800000;0;Pekerja Lepas
3360;Y;M;46;1400000;4;2300000;4;Pedagang
3361;Y;F;40;1200000;10;2300000;4;Wirausaha
3362;N;M;62;3000000;16;3000000;1;Guru/Dosen
3363;Y;M;72;700000;20;4000000;3;Pekerja Lepas
3364;Y;M;21;3000000;3;4500000;4;Pedagang
3365;Y;F;34;500000;20;3000000;0;Pedagang
3366;Y;F;49;1200000;10;4600000;2;Guru/Dosen
3367;N;M;56;1000000;3;1800000;1;Guru/Dosen
3368;Y;F;44;1500000;3;4600000;1;Guru/Dosen
3369;N;M;23;1800000;3;1200000;4;Guru/Dosen
3370;N;M;38;1000000;8;2000000;5;Pedagang
3371;Y;F;61;1200000;3;3500000;5;Pedagang
3372;N;M;29;1900000;4;1200000;3;Pedagang
3373;Y;M;33;1800000;5;2300000;4;Pedagang
3374;Y;M;88;700000;8;4400000;1;Pedagang
3375;N;M;22;1200000;16;2300000;3;Buruh
3376;N;M;86;1200000;10;2000000;0;Pekerja Lepas
3377;Y;F;41;700000;10;4800000;2;Pedagang
3378;N;F;48;2500000;3;1200000;3;Wirausaha
3379;Y;M;94;1900000;6;4400000;4;Pedagang
3380;Y;M;93;500000;3;4500000;2;Pedagang
3381;Y;F;94;1500000;8;4400000;4;Wirausaha
3382;N;M;82;1600000;6;1200000;2;Pedagang
3383;Y;F;26;1800000;10;4000000;0;Pedagang
3384;Y;M;65;1900000;10;4600000;5;Pedagang
3385;Y;F;26;2000000;10;2300000;4;Pekerja Lepas
3386;N;M;60;1600000;10;1200000;1;Buruh
3387;Y;M;90;1200000;4;4500000;3;Wirausaha
3388;Y;F;57;1500000;12;4400000;1;Pekerja Lepas
3389;Y;F;82;500000;4;2300000;1;Pedagang
3390;Y;M;58;1600000;10;4400000;1;Pedagang
3391;N;F;29;700000;6;1500000;2;Buruh
3392;N;M;27;1600000;10;1200000;5;Buruh
3393;Y;F;44;1800000;10;4800000;2;Buruh
3394;N;F;21;1200000;3;1800000;5;Pedagang
3395;N;M;100;1800000;10;1500000;0;Wirausaha
3396;Y;M;92;2500000;10;4500000;4;Pekerja Lepas
3397;N;M;31;2500000;3;1500000;1;Pedagang
3398;N;M;38;1500000;5;1800000;0;Pedagang
3399;N;M;76;1200000;10;4800000;3;Guru/Dosen
3400;Y;F;89;2500000;12;3000000;1;Pedagang
3401;N;M;84;1200000;10;1200000;3;Guru/Dosen
3402;N;M;33;3000000;12;2500000;0;Buruh
3403;N;M;39;1800000;4;4500000;4;Buruh
