Gender;Usia;Pinjaman;Tenor;Pemasukan;Tanggungan;Pekerjaan;Donasi
F;84;1900000;10;1500000;3;Pedagang;1
M;73;1800000;5;4400000;1;Guru/Dosen;5
M;33;1200000;16;1500000;2;Buruh;0
M;80;1200000;10;4600000;3;Buruh;2
F;57;1400000;6;4400000;5;Wirausaha;0
M;20;1000000;8;4400000;1;Guru/Dosen;0
M;32;1900000;3;1500000;0;Guru/Dosen;1
F;36;1000000;8;4000000;4;Pedagang;6
F;76;2500000;5;4800000;0;Pedagang;2
M;87;1800000;3;4500000;5;Pekerja Lepas;1
M;65;1900000;10;2000000;5;Pedagang;0
M;86;1900000;6;4500000;1;Guru/Dosen;1
M;37;1000000;10;2300000;0;Pedagang;0
M;76;1200000;8;1500000;5;Buruh;1
M;94;1500000;10;4600000;5;Guru/Dosen;0
M;73;1500000;10;4400000;2;Pedagang;4
M;91;2500000;16;2500000;0;Buruh;5
F;34;1200000;6;2000000;0;Pedagang;0
M;90;1500000;6;2000000;4;Wirausaha;0
M;70;1800000;4;2300000;5;Guru/Dosen;0
M;68;500000;6;4600000;4;Wirausaha;1
M;54;1200000;6;2000000;4;Wirausaha;1
M;88;1900000;12;2000000;5;Pekerja Lepas;6
F;96;1600000;3;5000000;1;Buruh;6
M;49;1900000;12;1800000;3;Guru/Dosen;1
M;59;1200000;4;5000000;0;Guru/Dosen;0
F;80;1900000;20;2500000;4;Wirausaha;6
M;44;700000;4;4000000;5;Buruh;0
F;74;1200000;10;3500000;0;Pedagang;5
M;79;500000;3;4600000;0;Guru/Dosen;1
M;41;1200000;4;2500000;5;Pedagang;2
M;57;1200000;12;2500000;0;Wirausaha;0
M;23;1500000;8;1800000;0;Pekerja Lepas;3
M;62;1800000;10;4500000;3;Pekerja Lepas;8
M;87;1200000;10;4800000;3;Wirausaha;6
F;80;1500000;10;3000000;1;Guru/Dosen;2
F;32;1400000;4;4600000;5;Wirausaha;1
M;68;3000000;4;1500000;5;Wirausaha;3
F;43;1500000;10;1200000;4;Buruh;7
F;35;1900000;16;1200000;2;Pedagang;3
M;90;1500000;20;2500000;5;Pedagang;7
F;24;1200000;20;2500000;5;Pekerja Lepas;6
F;94;2500000;16;1500000;4;Wirausaha;4
F;95;1500000;16;2000000;5;Guru/Dosen;6
M;53;1900000;12;4400000;2;Pekerja Lepas;0
M;28;1500000;4;1500000;5;Buruh;3
M;34;1500000;10;2500000;3;Buruh;0
F;77;2000000;8;4400000;1;Guru/Dosen;0
F;33;1200000;8;4600000;0;Wirausaha;4
M;62;1200000;12;3000000;1;Pedagang;5
M;63;700000;6;4800000;0;Guru/Dosen;2
M;58;1800000;10;1200000;2;Pedagang;1
F;94;1000000;8;1200000;2;Buruh;0
M;75;2500000;6;5000000;5;Wirausaha;1
M;26;500000;4;2300000;2;Pedagang;0
M;75;1200000;8;4000000;3;Guru/Dosen;3
M;97;1200000;10;3500000;2;Pedagang;6
M;79;1000000;16;1200000;1;Pedagang;1
M;23;1500000;10;3000000;0;Pedagang;1
M;47;500000;6;4800000;2;Pekerja Lepas;2
M;81;1000000;3;4600000;0;Buruh;2
F;63;1500000;10;4400000;4;Guru/Dosen;2
M;77;1400000;16;4400000;4;Wirausaha;6
M;49;1900000;4;4800000;1;Guru/Dosen;1
M;96;2500000;4;4000000;1;Pedagang;1
F;66;1200000;5;3000000;2;Pedagang;6
F;94;3000000;8;3000000;1;Pedagang;1
M;92;700000;12;3000000;0;Buruh;3
F;86;1400000;5;4600000;0;Pedagang;2
M;29;1600000;8;1800000;0;Buruh;0
M;98;1200000;5;1500000;0;Wirausaha;5
M;43;1000000;20;2300000;0;Pedagang;4
M;97;500000;4;1800000;3;Wirausaha;3
F;85;2500000;16;4800000;5;Guru/Dosen;1
F;58;1600000;8;2300000;3;Wirausaha;5
M;64;1400000;10;3500000;2;Guru/Dosen;2
M;47;500000;5;4400000;2;Pedagang;5
M;97;2000000;3;2300000;3;Pekerja Lepas;5
M;91;1500000;16;3000000;1;Wirausaha;1
M;29;1500000;10;3500000;0;Pedagang;0
M;39;1200000;12;4800000;4;Guru/Dosen;8
M;68;1200000;6;3000000;4;Pedagang;2
M;26;3000000;10;4500000;2;Pedagang;1
M;53;2500000;20;1800000;5;Guru/Dosen;3
M;92;1200000;10;1500000;2;Pedagang;6
M;85;500000;4;5000000;5;Wirausaha;0
F;100;1500000;5;1200000;4;Buruh;0
M;90;700000;10;4500000;2;Guru/Dosen;3
M;64;1600000;10;2500000;5;Guru/Dosen;4
F;30;1900000;3;4000000;5;Pekerja Lepas;6
M;45;1800000;20;4400000;2;Pedagang;0
M;84;3000000;10;2300000;1;Guru/Dosen;1
M;100;1200000;5;4500000;0;Pekerja Lepas;2
F;39;500000;20;3000000;0;Guru/Dosen;3
M;81;1000000;20;1800000;0;Guru/Dosen;8
M;77;1200000;10;4800000;0;Wirausaha;3
M;28;3000000;10;3500000;1;Pedagang;3
M;35;2500000;5;1800000;1;Pedagang;5
M;99;1800000;10;1200000;5;Wirausaha;1
M;57;1600000;5;3500000;4;Pedagang;4
F;62;1000000;4;3500000;4;Buruh;6
M;91;2500000;4;1800000;4;Pekerja Lepas;8
M;90;1800000;12;3500000;0;Guru/Dosen;0
M;87;2500000;10;5000000;2;Pedagang;5
M;91;1600000;8;4400000;1;Wirausaha;1
M;89;1500000;20;4600000;4;Buruh;5
M;74;1800000;12;3000000;3;Guru/Dosen;6
M;69;1500000;16;1500000;4;Wirausaha;7
M;20;1200000;8;4000000;2;Pedagang;6
F;64;500000;4;2000000;0;Pedagang;6
M;42;500000;4;4000000;4;Buruh;2
M;99;500000;4;4400000;1;Buruh;1
M;85;2500000;6;3500000;0;Guru/Dosen;2
F;75;2500000;8;3500000;0;Pedagang;0
M;73;1600000;12;5000000;3;Guru/Dosen;4
F;77;2000000;4;5000000;2;Pedagang;8
M;54;1200000;10;1800000;2;Buruh;0
F;27;1800000;4;1800000;4;Pedagang;1
M;67;1600000;8;2000000;1;Buruh;1
M;71;1200000;10;1500000;1;Wirausaha;7
M;28;3000000;4;4800000;3;Buruh;1
M;48;1000000;4;5000000;2;Pekerja Lepas;7
M;29;1900000;5;2500000;2;Guru/Dosen;5
M;77;1200000;10;3000000;5;Pedagang;7
F;86;2500000;12;2300000;5;Pekerja Lepas;4
F;80;700000;8;1500000;5;Wirausaha;0
M;29;1400000;5;4000000;2;Buruh;0
M;72;3000000;16;3500000;2;Buruh;5
M;97;500000;4;4800000;3;Buruh;6
M;48;1500000;6;1500000;0;Pekerja Lepas;0
F;26;1000000;4;2300000;2;Buruh;1
M;65;500000;8;4400000;2;Pedagang;2
F;57;1200000;16;4000000;4;Wirausaha;6
M;82;700000;8;4500000;3;Pedagang;5
M;29;2000000;8;5000000;0;Pekerja Lepas;5
M;47;2000000;16;3500000;0;Guru/Dosen;8
F;61;500000;12;1500000;3;Pedagang;1
F;64;1200000;16;3000000;0;Wirausaha;3
M;35;1200000;16;4000000;0;Wirausaha;1
F;85;1200000;3;2000000;5;Pedagang;7
M;37;500000;4;3000000;4;Buruh;5
M;85;2000000;10;2000000;2;Pedagang;1
F;34;1900000;6;2300000;0;Pekerja Lepas;3
F;49;3000000;10;1500000;0;Wirausaha;0
M;88;2500000;10;1200000;2;Wirausaha;2
M;45;1400000;3;4500000;0;Pekerja Lepas;2
M;31;2500000;5;1800000;3;Guru/Dosen;6
F;34;1800000;6;2000000;5;Pedagang;1
M;58;500000;20;4800000;2;Pedagang;4
M;60;3000000;6;4500000;2;Wirausaha;1
F;24;2000000;16;2000000;1;Wirausaha;7
F;66;1500000;4;4600000;2;Wirausaha;8
M;77;1200000;4;4600000;5;Wirausaha;1
M;35;1400000;6;1500000;5;Guru/Dosen;2
M;24;1800000;4;2300000;0;Buruh;4
M;88;500000;8;4000000;2;Pekerja Lepas;4
M;74;700000;3;2000000;0;Pedagang;6
F;92;1800000;8;2000000;0;Buruh;6
M;28;1000000;5;2000000;4;Buruh;7
F;82;500000;20;4400000;0;Buruh;5
M;62;1200000;12;3500000;4;Buruh;6
M;70;3000000;16;4000000;5;Wirausaha;3
F;93;500000;20;4400000;2;Pekerja Lepas;4
M;91;1200000;10;2500000;4;Wirausaha;6
M;32;2500000;10;2300000;4;Pekerja Lepas;0
F;46;700000;5;4000000;1;Pekerja Lepas;0
M;70;1900000;16;3000000;4;Wirausaha;4
F;26;1200000;16;4800000;4;Guru/Dosen;1
F;91;2000000;4;4500000;4;Guru/Dosen;0
F;53;1600000;4;3500000;3;Wirausaha;4
F;22;500000;4;1500000;1;Pedagang;8
M;88;700000;3;4000000;5;Pekerja Lepas;6
F;29;1500000;16;3500000;2;Buruh;3
F;72;1600000;5;5000000;5;Buruh;0
M;81;1400000;16;3500000;2;Guru/Dosen;3
M;24;1200000;10;3500000;0;Pedagang;1
M;87;2000000;6;2300000;5;Pedagang;6
M;26;1000000;5;1200000;5;Pekerja Lepas;1
M;30;500000;20;4000000;4;Wirausaha;2
F;67;1500000;4;4400000;1;Pekerja Lepas;6
M;33;500000;10;5000000;4;Buruh;7
M;70;2000000;4;3500000;0;Wirausaha;1
F;60;1200000;6;2300000;5;Pekerja Lepas;6
M;100;500000;10;1800000;4;Pedagang;0
M;74;1200000;4;2300000;4;Pedagang;1
M;76;500000;10;4500000;5;Wirausaha;3
M;99;1500000;6;4400000;2;Pedagang;4
M;81;3000000;4;4600000;3;Wirausaha;3
F;25;3000000;4;2000000;1;Pedagang;4
M;98;1400000;3;4400000;2;Buruh;7
F;26;1900000;20;4500000;1;Buruh;1
F;62;1400000;10;4800000;2;Guru/Dosen;3
M;88;1200000;3;4400000;0;Wirausaha;4
M;95;500000;8;3500000;0;Wirausaha;1
M;88;1600000;4;3000000;5;Wirausaha;4
M;77;1800000;8;2300000;4;Wirausaha;1
F;82;1200000;5;4800000;3;Guru/Dosen;2
F;75;3000000;4;4800000;2;Buruh;6
M;94;500000;8;3000000;4;Pedagang;3
M;98;1200000;16;5000000;0;Buruh;6
F;48;3000000;10;3500000;4;Pedagang;5
F;41;1200000;4;3000000;3;Pedagang;3
M;28;1600000;5;1500000;2;Guru/Dosen;4
M;27;1900000;5;1200000;3;Pedagang;2
M;58;1900000;10;5000000;5;Pedagang;0
F;63;2500000;10;5000000;0;Pedagang;1
M;83;3000000;4;4500000;3;Buruh;1
M;53;3000000;16;4600000;5;Buruh;1
M;44;1000000;5;1200000;1;Pedagang;6
F;85;500000;3;1500000;4;Buruh;6
F;21;1900000;4;4800000;0;Guru/Dosen;5
M;48;2500000;4;3500000;0;Pedagang;1
M;40;1200000;10;2300000;3;Pedagang;0
M;37;1200000;20;5000000;0;Pedagang;2
M;93;1500000;4;4500000;2;Buruh;3
M;21;1600000;6;2500000;2;Guru/Dosen;1
M;60;1200000;4;2500000;0;Guru/Dosen;4
F;39;2500000;10;1200000;0;Pedagang;1
M;40;500000;16;4600000;3;Pekerja Lepas;0
M;58;1500000;8;1800000;3;Pedagang;5
M;97;1200000;20;4800000;2;Pekerja Lepas;0
F;85;3000000;6;1200000;3;Guru/Dosen;2
M;59;2000000;3;1500000;2;Pedagang;0
M;84;1800000;8;2500000;4;Guru/Dosen;1
F;70;1600000;6;4500000;2;Pekerja Lepas;1
F;45;1200000;8;4800000;4;Pedagang;0
M;78;500000;3;4000000;5;Pedagang;4
M;74;1000000;16;1500000;4;Pedagang;7
M;35;1900000;10;3500000;0;Wirausaha;3
M;85;1200000;4;3000000;1;Pedagang;0
M;46;1900000;3;1200000;0;Guru/Dosen;6
M;62;500000;4;5000000;1;Pedagang;8
M;36;3000000;8;3000000;3;Pedagang;0
F;82;1000000;10;2500000;0;Pedagang;4
M;42;1200000;10;4500000;1;Buruh;7
F;93;1400000;20;4400000;1;Guru/Dosen;4
M;86;2000000;12;4800000;0;Wirausaha;6
M;48;1000000;3;1800000;0;Pedagang;3
M;58;1500000;12;3000000;2;Pedagang;8
F;24;1600000;4;2300000;1;Pedagang;0
M;49;1200000;4;4500000;1;Pekerja Lepas;6
F;78;1200000;20;4800000;2;Pedagang;6
M;98;1800000;16;2000000;1;Pekerja Lepas;7
M;62;1200000;10;4400000;2;Wirausaha;1
M;47;1400000;10;4800000;2;Guru/Dosen;4
F;46;1000000;4;1500000;4;Pedagang;1
M;62;1200000;8;4000000;4;Wirausaha;0
F;46;2500000;4;2500000;1;Pedagang;7
F;68;1600000;8;4500000;3;Pedagang;6
F;65;1400000;6;4400000;1;Buruh;1
F;33;1500000;4;4000000;0;Wirausaha;4
M;28;1200000;3;4500000;1;Buruh;2
F;59;700000;10;2000000;1;Buruh;4
M;96;1800000;3;2300000;2;Wirausaha;3
M;67;700000;8;4600000;2;Pekerja Lepas;5
M;98;700000;20;5000000;3;Buruh;3
F;60;1900000;4;4500000;4;Guru/Dosen;1
M;90;2000000;3;1500000;5;Pedagang;6
M;44;1500000;10;1500000;1;Buruh;2
F;76;1600000;16;3000000;2;Buruh;0
M;29;500000;4;4600000;2;Wirausaha;1
M;56;1600000;10;4000000;5;Guru/Dosen;3
M;27;1200000;12;2500000;3;Buruh;5
M;61;1400000;16;2500000;0;Pekerja Lepas;3
M;85;1600000;20;2000000;3;Pedagang;1
F;31;700000;12;2000000;4;Guru/Dosen;4
F;62;3000000;4;1200000;3;Wirausaha;3
M;36;1200000;10;2300000;3;Buruh;6
M;28;700000;10;5000000;4;Pekerja Lepas;1
F;100;500000;10;4500000;4;Wirausaha;5
M;35;1600000;10;4800000;1;Pekerja Lepas;2
M;37;1800000;10;1500000;4;Pekerja Lepas;0
M;21;500000;20;2300000;4;Wirausaha;1
M;98;2500000;10;4000000;5;Buruh;0
F;70;1000000;3;5000000;1;Pedagang;4
F;40;2000000;12;3500000;0;Pekerja Lepas;6
M;58;1600000;4;2000000;3;Wirausaha;4
M;29;1500000;10;4400000;2;Guru/Dosen;1
F;73;1200000;3;2300000;5;Buruh;6
F;58;1200000;3;3500000;3;Buruh;1
F;92;500000;10;1500000;3;Pedagang;5
F;52;500000;10;4400000;5;Pedagang;4
M;100;1800000;12;2300000;3;Wirausaha;0
M;41;700000;10;4600000;3;Wirausaha;0
M;40;500000;4;2300000;5;Wirausaha;0
M;26;500000;16;4800000;1;Pekerja Lepas;0
F;27;1600000;16;5000000;3;Buruh;2
F;73;1500000;3;4000000;1;Wirausaha;2
M;72;1000000;4;4600000;0;Pekerja Lepas;4
M;81;1000000;4;3000000;3;Wirausaha;5
F;78;1900000;10;4500000;5;Pekerja Lepas;1
F;68;1200000;5;1500000;4;Pekerja Lepas;0
F;77;1200000;16;3500000;4;Pedagang;0
M;89;1600000;16;3500000;3;Pekerja Lepas;0
M;24;1400000;6;3000000;3;Pedagang;0
F;91;1200000;5;4500000;2;Wirausaha;6
F;69;1200000;12;1200000;2;Pedagang;0
F;23;1400000;5;4500000;1;Buruh;4
F;65;1200000;10;4000000;1;Pedagang;1
M;30;1200000;6;2500000;2;Pedagang;3
M;37;1900000;4;4500000;4;Pekerja Lepas;7
M;33;3000000;10;1200000;1;Pedagang;2
M;29;1000000;10;4000000;0;Wirausaha;0
M;24;1000000;16;4800000;4;Pekerja Lepas;1
F;76;1200000;4;4500000;5;Pedagang;8
F;63;500000;6;2000000;5;Guru/Dosen;8
F;65;500000;4;3000000;5;Pekerja Lepas;0
M;47;1800000;3;1500000;4;Guru/Dosen;0
F;52;1200000;4;1200000;2;Pedagang;3
F;26;1500000;10;5000000;0;Pekerja Lepas;2
F;73;500000;16;4500000;4;Guru/Dosen;6
F;33;500000;4;2300000;0;Guru/Dosen;2
F;67;1200000;5;4400000;1;Buruh;1
F;41;1600000;20;3000000;0;Guru/Dosen;2
M;76;2000000;20;1200000;0;Wirausaha;3
M;82;2000000;20;2000000;3;Pedagang;1
M;32;1800000;16;4600000;5;Buruh;1
F;72;3000000;3;1200000;1;Pedagang;5
F;91;2000000;3;1800000;0;Buruh;1
M;85;1500000;16;2000000;1;Guru/Dosen;1
F;88;1200000;5;3500000;0;Pedagang;3
M;64;1400000;4;5000000;0;Pekerja Lepas;6
F;56;1500000;12;4400000;5;Buruh;1
M;73;1000000;5;2300000;4;Pekerja Lepas;6
M;42;2000000;6;4400000;5;Pedagang;1
F;38;500000;3;2500000;1;Wirausaha;1
M;80;500000;10;4400000;3;Pekerja Lepas;3
M;20;2500000;5;2500000;1;Pedagang;1
M;63;1200000;8;2000000;0;Pekerja Lepas;4
M;79;1400000;6;4800000;0;Pekerja Lepas;8
M;34;2000000;4;1500000;1;Wirausaha;3
M;94;2500000;12;2300000;2;Pedagang;7
M;59;1200000;10;1800000;5;Guru/Dosen;1
M;31;500000;16;3000000;2;Pekerja Lepas;6
M;31;500000;10;2500000;5;Buruh;1
M;50;1200000;6;3000000;0;Pedagang;1
F;61;1600000;12;4400000;0;Buruh;3
M;44;3000000;16;3500000;3;Pedagang;0
M;27;2500000;10;3500000;4;Pedagang;0
M;70;1200000;3;4400000;3;Pedagang;0
M;39;1400000;16;4800000;5;Guru/Dosen;6
M;90;700000;3;5000000;3;Pedagang;6
M;45;1200000;5;4400000;5;Pedagang;0
F;83;2000000;10;4400000;3;Guru/Dosen;7
M;28;500000;8;1800000;5;Wirausaha;0
F;55;1000000;5;4500000;0;Pekerja Lepas;0
M;65;2500000;20;5000000;3;Wirausaha;0
F;48;1000000;10;4600000;0;Pedagang;1
F;85;2000000;4;5000000;5;Pedagang;5
M;25;1900000;12;3500000;4;Pekerja Lepas;0
M;49;1600000;10;1200000;2;Guru/Dosen;8
F;36;2000000;6;1200000;0;Pedagang;1
M;54;1200000;12;1200000;2;Wirausaha;1
F;67;1600000;10;5000000;5;Pedagang;2
F;89;1900000;4;1200000;4;Buruh;1
F;93;500000;20;4000000;5;Pedagang;3
M;34;1200000;5;4000000;4;Pedagang;7
M;49;2000000;8;1800000;1;Pekerja Lepas;6
F;82;700000;4;4600000;4;Pekerja Lepas;6
M;69;1200000;8;4400000;0;Pekerja Lepas;0
M;28;2500000;12;4400000;3;Wirausaha;0
M;88;1200000;6;1500000;4;Wirausaha;5
M;39;2500000;8;3000000;3;Buruh;7
M;85;1200000;4;4500000;3;Pedagang;3
M;77;1600000;10;5000000;0;Wirausaha;8
M;77;1500000;8;4400000;0;Pekerja Lepas;1
F;98;1000000;20;2500000;1;Guru/Dosen;2
F;96;2000000;4;1800000;5;Buruh;0
M;30;1200000;5;3000000;5;Buruh;3
F;53;1200000;8;2000000;2;Wirausaha;0
M;27;1200000;20;1800000;3;Pekerja Lepas;6
M;93;1200000;5;5000000;5;Guru/Dosen;4
F;93;500000;3;1200000;5;Guru/Dosen;0
M;71;2000000;3;3500000;0;Pedagang;0
F;33;1400000;20;1500000;2;Pedagang;5
M;76;1400000;3;4400000;2;Pedagang;6
M;37;1900000;10;2000000;3;Pekerja Lepas;8
M;42;3000000;8;5000000;2;Pedagang;4
M;96;700000;3;3000000;3;Pedagang;4
M;24;1600000;10;1800000;2;Wirausaha;6
F;89;1200000;16;4800000;1;Pekerja Lepas;4
M;75;1400000;20;4600000;3;Pedagang;5
M;45;3000000;10;2500000;0;Pedagang;0
M;57;1400000;10;1800000;1;Pedagang;5
F;84;3000000;3;2300000;5;Pekerja Lepas;1
M;95;1200000;10;3500000;5;Pedagang;3
M;94;1500000;8;4600000;3;Buruh;3
M;81;1500000;6;3000000;5;Pedagang;2
M;82;2500000;8;2000000;5;Pedagang;5
M;33;3000000;6;2300000;2;Pedagang;0
M;90;1200000;8;1800000;2;Guru/Dosen;3
F;37;1200000;6;1200000;4;Buruh;8
F;66;1000000;4;4400000;4;Buruh;0
M;69;1400000;4;1200000;4;Pekerja Lepas;0
M;96;1800000;3;2300000;4;Buruh;1
M;67;2000000;10;4000000;1;Buruh;1
M;21;1200000;6;4800000;4;Pekerja Lepas;2
M;40;3000000;8;1500000;4;Pedagang;0
F;39;1000000;16;4800000;1;Pekerja Lepas;2
F;50;1500000;4;4500000;4;Pekerja Lepas;0
M;87;1400000;4;2000000;4;Guru/Dosen;5
F;33;2000000;6;3000000;0;Pekerja Lepas;6
M;89;2500000;3;1200000;3;Pekerja Lepas;4
F;24;500000;5;2500000;0;Pekerja Lepas;0
M;89;2500000;8;4500000;3;Pekerja Lepas;2
F;78;2500000;4;1200000;0;Buruh;0
F;83;1200000;10;1500000;1;Pekerja Lepas;0
M;46;1200000;5;2000000;4;Pekerja Lepas;3
F;95;500000;6;3500000;2;Pekerja Lepas;0
M;55;2500000;8;4400000;0;Guru/Dosen;1
M;88;1200000;10;1200000;5;Pedagang;6
M;67;1200000;8;4400000;2;Pedagang;3
M;68;3000000;16;3000000;2;Pekerja Lepas;0
F;33;1200000;8;5000000;2;Buruh;0
M;73;500000;10;3000000;0;Guru/Dosen;0
M;77;500000;3;1200000;4;Buruh;3
M;24;1500000;12;3000000;0;Guru/Dosen;3
M;97;3000000;10;4400000;1;Pekerja Lepas;0
M;20;700000;6;5000000;2;Wirausaha;0
M;64;3000000;10;4800000;4;Guru/Dosen;4
F;63;2000000;6;4000000;2;Buruh;3
M;87;3000000;3;3500000;1;Wirausaha;2
M;96;500000;10;4800000;4;Wirausaha;6
M;64;500000;4;1200000;0;Buruh;1
M;22;1800000;12;1500000;0;Guru/Dosen;0
F;45;1000000;5;4000000;4;Wirausaha;2
M;74;1900000;6;5000000;1;Buruh;0
M;94;700000;12;4600000;4;Pekerja Lepas;3
M;26;2000000;10;4500000;4;Wirausaha;4
M;63;1600000;8;4600000;0;Wirausaha;3
M;70;1400000;10;1200000;1;Pedagang;6
F;82;1400000;12;3500000;4;Pedagang;3
F;59;1800000;4;4400000;4;Guru/Dosen;4
M;25;3000000;8;4800000;4;Pedagang;0
M;40;3000000;4;3000000;2;Buruh;1
M;94;1800000;10;2000000;0;Wirausaha;1
M;44;1000000;16;1200000;4;Pedagang;3
M;30;1000000;16;1500000;3;Wirausaha;0
F;73;2000000;5;5000000;1;Pedagang;0
F;85;1400000;12;4000000;5;Pekerja Lepas;0
F;91;1400000;4;1200000;4;Pedagang;3
F;79;500000;4;4500000;5;Wirausaha;1
M;94;700000;10;3000000;4;Guru/Dosen;1
M;69;1200000;4;2300000;2;Wirausaha;8
M;49;1200000;6;5000000;2;Pedagang;3
M;35;500000;4;1500000;2;Buruh;4
F;36;1200000;10;1500000;2;Guru/Dosen;4
F;53;1200000;20;3500000;0;Pedagang;1
M;77;700000;12;1800000;5;Guru/Dosen;0
M;47;1900000;16;5000000;0;Wirausaha;5
F;67;1200000;3;4600000;5;Pedagang;7
F;50;3000000;4;1500000;5;Pedagang;6
M;34;1800000;10;4400000;1;Buruh;1
F;34;2500000;3;4500000;5;Wirausaha;3
F;47;2000000;4;4800000;1;Buruh;5
M;95;1500000;4;4000000;3;Buruh;3
M;85;500000;3;3000000;5;Pedagang;6
M;40;1900000;10;4500000;1;Pedagang;0
F;57;1500000;10;4400000;1;Guru/Dosen;5
M;93;1500000;8;4600000;0;Guru/Dosen;6
M;100;1000000;12;2000000;2;Pekerja Lepas;1
M;84;1800000;10;4000000;2;Pekerja Lepas;0
M;61;500000;3;1500000;1;Pedagang;0
M;39;3000000;4;4400000;4;Pedagang;5
M;88;1600000;10;1500000;4;Buruh;0
F;24;1800000;10;1800000;2;Guru/Dosen;1
F;24;1200000;12;4500000;2;Pedagang;5
M;75;1200000;12;4000000;2;Guru/Dosen;1
M;31;500000;16;4500000;5;Pedagang;2
F;68;500000;3;1200000;2;Pedagang;8
F;72;1000000;4;5000000;3;Pekerja Lepas;6
M;48;1400000;10;2500000;3;Buruh;0
M;41;1800000;4;3500000;0;Pedagang;7
M;25;500000;16;2300000;5;Buruh;8
M;22;1400000;6;1200000;0;Guru/Dosen;0
M;64;1200000;6;5000000;3;Buruh;4
M;40;700000;20;2500000;3;Pekerja Lepas;8
M;26;1600000;6;2500000;0;Pekerja Lepas;3
M;52;3000000;12;4800000;2;Pedagang;5
M;92;1600000;10;2000000;0;Pedagang;7
M;61;1200000;10;1800000;0;Guru/Dosen;1
M;35;1600000;6;4800000;0;Wirausaha;4
M;55;1400000;6;4800000;0;Pekerja Lepas;6
M;63;700000;10;3000000;3;Buruh;6
M;34;1800000;6;2300000;4;Wirausaha;4
F;48;2000000;10;1500000;5;Wirausaha;1
M;42;1000000;8;1500000;2;Pedagang;6
M;63;1500000;8;5000000;2;Pekerja Lepas;3
F;93;700000;12;4600000;4;Buruh;3
M;47;2500000;16;3500000;4;Pedagang;4
M;83;2000000;10;2500000;5;Pekerja Lepas;6
M;23;1900000;5;2500000;5;Wirausaha;0
M;99;1400000;12;4500000;0;Wirausaha;5
M;61;1200000;4;4600000;1;Guru/Dosen;6
M;67;1500000;3;5000000;2;Pedagang;4
F;43;500000;4;4500000;5;Buruh;5
M;45;2500000;5;1500000;5;Pedagang;6
M;52;3000000;6;3500000;4;Guru/Dosen;0
M;98;700000;3;2000000;2;Pekerja Lepas;1
M;30;1200000;12;4800000;5;Pedagang;1
M;26;1400000;3;2000000;2;Pedagang;8
M;65;1500000;4;4000000;4;Pedagang;6
M;28;1500000;5;4600000;0;Wirausaha;0
M;33;700000;12;1500000;3;Guru/Dosen;2
F;85;1800000;4;1500000;1;Pekerja Lepas;0
M;53;500000;20;2500000;0;Pedagang;0
F;30;1000000;4;1800000;4;Pedagang;0
M;30;1000000;5;5000000;5;Pedagang;7
M;83;700000;16;1200000;4;Pedagang;0
M;75;700000;5;5000000;3;Wirausaha;4
M;91;1800000;10;2000000;4;Pekerja Lepas;4
F;73;1800000;16;2300000;2;Pedagang;2
M;53;1200000;8;4600000;2;Pedagang;6
M;42;2500000;3;4600000;0;Wirausaha;0
M;90;1800000;16;2000000;5;Buruh;6
M;23;1600000;6;2000000;3;Guru/Dosen;4
F;91;1200000;20;4500000;4;Guru/Dosen;4
M;63;3000000;8;4800000;4;Buruh;1
M;87;500000;3;2500000;3;Wirausaha;0
F;76;1200000;16;5000000;1;Guru/Dosen;3
M;98;2000000;12;5000000;1;Guru/Dosen;7
F;29;700000;12;1800000;0;Pedagang;6
M;81;700000;10;3000000;5;Pedagang;0
F;53;1800000;3;5000000;5;Pekerja Lepas;1
F;28;1200000;20;2300000;1;Buruh;1
F;63;1200000;10;4000000;5;Buruh;7
M;97;1200000;20;1200000;1;Pedagang;6
F;56;3000000;10;4000000;5;Buruh;2
F;84;1600000;10;4400000;2;Guru/Dosen;7
M;53;1200000;16;2300000;1;Wirausaha;6
M;40;1900000;4;3500000;0;Pekerja Lepas;2
M;29;1000000;6;5000000;0;Pedagang;0
M;67;500000;12;2300000;0;Pedagang;0
M;47;1400000;10;4400000;4;Guru/Dosen;1
F;74;500000;6;5000000;4;Wirausaha;0
M;99;1200000;8;1800000;1;Pedagang;4
F;32;1200000;20;4400000;0;Pekerja Lepas;8
M;23;1500000;8;4400000;4;Pedagang;7
F;45;1400000;4;2500000;1;Pekerja Lepas;1
F;92;2500000;4;1800000;4;Pedagang;4
M;34;1400000;10;2000000;2;Guru/Dosen;7
F;60;1000000;10;1200000;2;Wirausaha;0
M;60;2000000;3;4800000;5;Pedagang;0
M;72;1400000;10;3500000;0;Pedagang;1
M;44;500000;5;4400000;1;Guru/Dosen;4
M;41;2000000;6;4400000;2;Pekerja Lepas;0
M;54;1900000;12;2300000;0;Wirausaha;1
M;44;3000000;6;1500000;0;Pedagang;1
M;53;1200000;12;3000000;4;Guru/Dosen;6
M;81;700000;5;1200000;4;Pedagang;5
M;85;1500000;12;1500000;3;Pedagang;0
M;50;2500000;10;4400000;4;Wirausaha;5
M;35;1500000;12;4400000;3;Guru/Dosen;0
M;31;500000;10;4500000;0;Pedagang;6
F;48;1200000;12;4000000;5;Pedagang;6
M;52;1000000;8;1500000;2;Wirausaha;6
F;52;1400000;3;1200000;1;Pedagang;2
M;90;1600000;5;3500000;5;Pedagang;5
