;approval;gender;usia;pinjaman;tenor;pemasukan;tanggungan;pekerjaan;donasi
1435;Y;M;84;1000000;3;4600000;5;Pedagang;1
1436;Y;M;82;1200000;16;4600000;5;Pedagang;0
1437;N;M;40;1600000;20;4400000;3;Guru/Dosen;0
1438;N;F;98;2000000;20;1200000;1;Pekerja Lepas;6
1439;N;M;81;500000;4;1200000;2;Pekerja Lepas;6
1440;N;M;91;500000;3;3500000;4;Guru/Dosen;1
1441;Y;M;21;1000000;8;5000000;1;Guru/Dosen;0
1442;Y;M;42;1800000;12;3500000;1;Buruh;7
1443;N;M;94;700000;5;1200000;2;Pekerja Lepas;8
1444;Y;M;62;500000;5;3000000;5;Pedagang;1
1445;N;F;30;1000000;6;4800000;4;Guru/Dosen;0
1446;Y;F;32;1500000;4;4800000;4;Pedagang;5
1447;Y;M;21;500000;4;3000000;1;Pedagang;0
1448;Y;M;91;700000;5;4500000;1;Pekerja Lepas;5
1449;N;M;25;1800000;16;3500000;1;Guru/Dosen;4
1450;N;M;24;1200000;5;1800000;4;Buruh;4
1451;N;F;35;2500000;16;2500000;5;Guru/Dosen;3
1452;Y;M;85;3000000;16;3500000;3;Pekerja Lepas;5
1453;N;M;31;1200000;8;4400000;3;Buruh;2
1454;Y;F;46;1200000;16;4500000;2;Pedagang;0
1455;N;M;72;500000;5;4500000;4;Guru/Dosen;4
1456;Y;M;86;1000000;12;4800000;1;Pedagang;5
1457;Y;M;42;700000;8;3500000;3;Pedagang;2
1458;Y;F;40;1400000;12;3000000;4;Wirausaha;6
1459;Y;F;88;500000;4;2500000;0;Pekerja Lepas;0
1460;Y;F;96;1600000;16;2500000;3;Pekerja Lepas;6
1461;N;M;22;1800000;5;1200000;4;Pekerja Lepas;4
1462;N;M;72;700000;4;4800000;0;Guru/Dosen;1
1463;N;M;78;1200000;10;5000000;4;Guru/Dosen;3
1464;N;M;50;700000;4;2000000;3;Wirausaha;5
1465;Y;M;41;1200000;10;2500000;5;Pedagang;2
1466;N;F;81;1000000;20;2000000;5;Pedagang;1
1467;Y;M;34;2500000;3;3000000;2;Pedagang;3
1468;Y;M;87;1400000;8;2300000;4;Pekerja Lepas;5
1469;N;M;95;2500000;16;1200000;4;Pekerja Lepas;1
1470;N;M;34;1900000;4;2000000;0;Guru/Dosen;1
1471;N;M;55;1200000;8;1500000;1;Guru/Dosen;1
1472;Y;M;33;700000;4;5000000;1;Buruh;6
1473;N;M;73;500000;12;2000000;0;Wirausaha;0
1474;Y;M;75;1600000;20;4400000;1;Pedagang;1
1475;N;M;32;1200000;12;2000000;5;Pekerja Lepas;2
1476;N;M;90;1200000;4;1500000;1;Pedagang;3
1477;N;M;52;2500000;3;2300000;1;Buruh;0
1478;N;M;28;1400000;4;2300000;3;Guru/Dosen;0
1479;N;F;28;2500000;5;1500000;4;Wirausaha;3
1480;N;M;69;1200000;12;4600000;3;Guru/Dosen;1
1481;Y;M;68;1000000;12;3500000;2;Pedagang;8
1482;N;M;25;1200000;5;2000000;3;Pedagang;0
1483;N;F;97;1800000;3;2000000;1;Wirausaha;6
1484;N;M;64;1500000;20;1800000;3;Pedagang;4
1485;N;M;69;1200000;12;3000000;1;Guru/Dosen;0
1486;Y;M;20;1200000;3;4400000;1;Pedagang;4
1487;N;F;56;1500000;12;4500000;3;Guru/Dosen;0
1488;N;F;95;1200000;10;3500000;3;Buruh;1
1489;N;M;87;1600000;4;1200000;0;Pedagang;1
1490;Y;M;52;2500000;10;4000000;2;Pedagang;2
1491;Y;F;44;2500000;4;4800000;3;Pekerja Lepas;1
1492;Y;M;62;2000000;16;4400000;5;Pedagang;0
1493;N;M;42;700000;10;1200000;5;Pedagang;3
1494;Y;F;34;1200000;10;2300000;0;Wirausaha;6
1495;N;F;81;2500000;4;2000000;2;Guru/Dosen;3
1496;Y;M;78;1500000;12;4500000;0;Pedagang;0
1497;Y;M;23;2000000;8;3000000;5;Wirausaha;5
1498;Y;F;60;1900000;16;4500000;0;Buruh;4
1499;Y;M;65;3000000;10;2300000;2;Pedagang;7
1500;Y;M;34;1200000;6;5000000;5;Pedagang;4
1501;N;M;43;1200000;20;1500000;3;Pekerja Lepas;5
1502;N;M;84;1200000;3;3500000;2;Guru/Dosen;4
1503;Y;M;94;1200000;4;4800000;5;Pedagang;6
1504;Y;M;22;1200000;8;4000000;1;Pedagang;1
1505;Y;F;98;1200000;4;3000000;4;Pedagang;6
1506;Y;F;77;3000000;12;3000000;5;Wirausaha;4
1507;Y;F;27;1900000;4;2500000;4;Pedagang;5
1508;Y;M;37;1400000;10;2300000;3;Pedagang;1
1509;N;M;25;700000;8;2300000;4;Buruh;1
1510;N;M;58;1900000;20;2500000;4;Guru/Dosen;3
1511;Y;F;29;1200000;6;3500000;1;Wirausaha;1
1512;Y;F;31;2000000;6;4400000;2;Pekerja Lepas;5
1513;Y;M;86;700000;4;5000000;3;Pedagang;1
1514;N;M;58;1500000;6;2000000;1;Pekerja Lepas;0
1515;Y;M;88;700000;8;4000000;0;Wirausaha;4
1516;Y;F;33;1600000;5;2300000;2;Wirausaha;3
1517;N;M;25;1000000;20;1200000;5;Pedagang;1
1518;N;M;24;1200000;6;1500000;4;Guru/Dosen;5
1519;Y;M;94;2000000;16;4800000;3;Pedagang;0
1520;N;M;44;500000;4;1800000;2;Pedagang;8
1521;Y;F;39;1900000;4;4800000;0;Pekerja Lepas;1
1522;N;M;31;1800000;6;2000000;1;Pedagang;1
1523;Y;M;35;1900000;4;4600000;1;Pekerja Lepas;3
1524;Y;F;31;1200000;4;4400000;5;Pedagang;2
1525;N;F;28;1200000;5;2500000;3;Buruh;4
1526;N;M;70;2000000;20;3000000;5;Buruh;5
1527;N;M;39;1200000;4;1800000;2;Pedagang;1
1528;N;F;79;1000000;6;1500000;4;Wirausaha;6
1529;Y;F;25;500000;6;3000000;2;Pedagang;5
1530;N;M;56;1000000;6;1800000;4;Pedagang;4
1531;Y;F;25;2000000;8;5000000;4;Pedagang;0
1532;N;F;57;1200000;8;2000000;0;Buruh;0
1533;Y;M;35;1200000;6;3500000;5;Pedagang;1
1534;N;M;74;1200000;5;1500000;0;Pedagang;4
1535;Y;M;97;500000;4;3000000;5;Pedagang;1
1536;Y;M;36;1900000;10;4600000;0;Pedagang;1
1537;N;M;52;2500000;3;1500000;0;Guru/Dosen;4
1538;Y;M;52;500000;4;5000000;1;Buruh;5
1539;N;F;74;500000;10;3500000;3;Guru/Dosen;3
1540;Y;M;85;1200000;4;4500000;1;Pedagang;1
1541;Y;F;40;1600000;4;3000000;4;Wirausaha;1
1542;Y;F;21;1800000;10;4800000;2;Pedagang;6
1543;Y;M;76;1200000;4;2500000;4;Pedagang;2
1544;N;F;37;1500000;10;1800000;4;Wirausaha;3
1545;N;M;25;1200000;12;4400000;4;Buruh;4
1546;Y;F;78;500000;6;2300000;3;Pedagang;4
1547;Y;M;20;1600000;3;4400000;4;Wirausaha;1
1548;Y;M;59;2500000;10;2300000;1;Pedagang;0
1549;Y;F;98;500000;12;2500000;3;Pedagang;6
1550;N;M;98;1500000;12;4000000;2;Buruh;0
1551;Y;M;66;500000;3;4600000;1;Pekerja Lepas;1
1552;N;F;82;1800000;20;1500000;1;Guru/Dosen;7
1553;Y;F;30;1000000;20;4500000;3;Pedagang;4
1554;Y;F;65;1200000;4;4400000;4;Pedagang;6
1555;Y;M;73;3000000;3;2500000;5;Pedagang;5
1556;Y;M;33;1800000;3;4000000;1;Pedagang;6
1557;Y;F;90;1000000;4;4000000;2;Pedagang;4
1558;N;M;28;1000000;4;1500000;1;Buruh;1
1559;N;M;43;1200000;5;1800000;3;Buruh;1
1560;N;M;58;1600000;16;1200000;2;Buruh;1
1561;Y;M;73;2500000;10;4000000;5;Pedagang;8
1562;Y;M;55;1200000;12;5000000;0;Buruh;5
1563;Y;M;42;1400000;16;4400000;2;Pekerja Lepas;1
1564;N;M;21;1400000;4;1500000;1;Pekerja Lepas;7
1565;N;F;27;1600000;8;2000000;2;Wirausaha;4
1566;N;F;28;1000000;8;3000000;2;Guru/Dosen;4
1567;Y;M;74;1400000;6;4600000;1;Wirausaha;2
1568;Y;M;77;1500000;4;4500000;2;Pekerja Lepas;2
1569;Y;M;49;1600000;4;4000000;0;Buruh;6
1570;N;M;50;1500000;5;2000000;4;Buruh;4
1571;Y;M;84;1200000;20;4800000;5;Pedagang;5
1572;N;M;51;1200000;4;4500000;3;Guru/Dosen;0
1573;N;F;55;3000000;20;1800000;5;Buruh;0
1574;Y;M;20;500000;8;3000000;2;Wirausaha;4
1575;Y;F;49;1400000;8;4000000;4;Pedagang;6
1576;Y;M;31;1900000;6;2500000;1;Pedagang;6
1577;N;F;88;1200000;4;1500000;4;Guru/Dosen;1
1578;N;M;52;1400000;20;3500000;4;Buruh;0
1579;N;M;72;500000;10;2000000;5;Wirausaha;0
1580;N;F;73;2500000;6;1200000;3;Pedagang;8
1581;Y;F;70;1200000;3;3500000;4;Pekerja Lepas;1
1582;Y;F;62;500000;4;5000000;1;Buruh;4
1583;N;M;29;1400000;10;1200000;0;Wirausaha;6
1584;N;F;92;2000000;4;4800000;2;Guru/Dosen;1
1585;Y;M;61;500000;4;2500000;4;Guru/Dosen;6
1586;N;M;94;500000;16;2000000;5;Buruh;3
1587;N;M;51;700000;4;2000000;3;Wirausaha;2
1588;Y;M;58;2500000;4;4800000;5;Pedagang;8
1589;N;M;22;1600000;16;2000000;3;Pedagang;6
1590;N;M;31;1500000;5;4000000;4;Buruh;0
1591;N;F;28;1900000;16;2000000;1;Pedagang;1
1592;N;F;50;500000;12;2000000;2;Pedagang;1
1593;N;M;100;500000;20;2300000;1;Buruh;1
1594;N;M;100;1400000;6;4000000;5;Guru/Dosen;6
1595;Y;F;27;3000000;4;3000000;0;Buruh;5
1596;N;M;53;1200000;16;2000000;0;Wirausaha;3
1597;Y;F;61;1400000;20;4400000;1;Guru/Dosen;2
1598;Y;F;43;1500000;16;3000000;0;Wirausaha;0
1599;N;F;74;500000;10;1800000;0;Guru/Dosen;5
1600;Y;M;61;1400000;3;3000000;4;Pekerja Lepas;3
1601;Y;M;72;500000;5;3500000;1;Pekerja Lepas;5
1602;Y;M;37;3000000;5;2300000;1;Pekerja Lepas;0
1603;Y;M;48;1200000;5;2300000;0;Pedagang;5
1604;Y;F;96;1200000;10;4400000;3;Wirausaha;1
1605;Y;F;80;2000000;12;4400000;1;Pedagang;3
1606;N;F;53;1500000;5;1500000;2;Wirausaha;4
1607;Y;M;60;700000;16;4400000;4;Buruh;6
1608;Y;M;66;500000;12;5000000;1;Pekerja Lepas;0
1609;N;M;73;500000;12;4600000;0;Guru/Dosen;5
1610;Y;F;86;500000;16;2500000;1;Pedagang;3
1611;Y;F;55;1000000;10;4000000;0;Guru/Dosen;0
1612;N;M;63;2000000;4;1800000;2;Guru/Dosen;1
1613;N;F;96;1000000;8;2000000;2;Buruh;4
1614;N;F;97;1900000;5;1500000;0;Guru/Dosen;6
1615;Y;F;50;1200000;10;4000000;0;Buruh;1
1616;Y;M;92;3000000;6;3000000;2;Pedagang;1
1617;Y;F;69;1400000;10;5000000;3;Pedagang;5
1618;Y;M;43;500000;4;5000000;2;Pedagang;6
1619;N;M;87;2000000;6;1200000;0;Wirausaha;7
1620;Y;M;41;1500000;10;4000000;1;Pekerja Lepas;0
1621;N;M;49;1500000;4;5000000;5;Guru/Dosen;1
1622;Y;F;29;2000000;3;4000000;5;Pekerja Lepas;6
1623;Y;F;44;1600000;10;4000000;4;Wirausaha;1
1624;N;F;92;1200000;5;1500000;1;Buruh;6
1625;Y;M;91;1200000;4;4000000;4;Pedagang;0
1626;Y;M;71;2500000;5;4500000;2;Pedagang;4
1627;Y;M;50;700000;12;4400000;5;Pedagang;8
1628;N;M;85;1000000;8;1500000;0;Guru/Dosen;0
1629;N;M;80;1200000;10;2000000;3;Pedagang;0
1630;Y;M;63;1200000;5;2300000;3;Wirausaha;2
1631;Y;F;89;2000000;16;3000000;5;Pedagang;2
1632;N;F;71;2000000;16;5000000;3;Guru/Dosen;0
1633;Y;F;21;1500000;20;3500000;3;Pedagang;6
1634;N;M;50;2000000;5;1200000;1;Wirausaha;1
1635;Y;F;55;3000000;3;4400000;5;Pedagang;8
1636;N;M;31;1500000;5;2000000;0;Pedagang;5
1637;Y;F;28;1900000;4;2300000;0;Pedagang;5
1638;N;M;56;2000000;4;5000000;2;Buruh;1
1639;Y;M;65;2000000;10;2300000;2;Pedagang;6
1640;Y;F;95;2000000;6;4400000;0;Wirausaha;4
1641;N;M;76;500000;10;1800000;0;Pekerja Lepas;0
1642;N;M;71;1600000;20;1500000;4;Pekerja Lepas;6
1643;Y;M;28;1000000;12;3500000;2;Pedagang;5
1644;Y;M;96;1000000;12;4500000;3;Pedagang;7
1645;N;F;66;1000000;10;3000000;5;Guru/Dosen;2
1646;N;F;57;500000;4;4600000;4;Guru/Dosen;1
1647;N;F;40;700000;20;1200000;2;Wirausaha;0
1648;N;M;53;3000000;10;1500000;4;Pekerja Lepas;0
1649;N;M;46;1500000;16;1800000;1;Guru/Dosen;3
1650;N;M;76;1500000;20;1800000;5;Pedagang;6
1651;N;M;89;700000;4;1200000;3;Guru/Dosen;6
1652;N;M;56;2000000;8;2000000;3;Guru/Dosen;2
1653;N;F;86;1900000;10;1800000;4;Pedagang;0
1654;Y;M;65;500000;16;3500000;2;Pedagang;0
1655;Y;M;24;3000000;5;4000000;5;Pedagang;2
1656;Y;M;67;1600000;3;2500000;5;Pedagang;3
1657;Y;M;28;1900000;12;4500000;5;Wirausaha;7
1658;Y;M;73;1200000;8;2500000;2;Pedagang;0
1659;N;F;99;1400000;6;1500000;0;Pedagang;3
1660;Y;M;74;2000000;6;4500000;2;Pedagang;1
1661;Y;F;40;2500000;20;3000000;2;Wirausaha;4
1662;N;M;57;1200000;8;4400000;5;Buruh;3
1663;Y;M;37;1800000;12;3000000;4;Pekerja Lepas;2
1664;N;F;29;1600000;8;4800000;5;Guru/Dosen;1
1665;Y;F;53;2500000;12;4600000;3;Pedagang;3
1666;Y;F;58;1200000;16;4000000;0;Buruh;3
1667;Y;M;52;3000000;4;2500000;4;Pedagang;6
1668;N;F;90;1200000;4;1500000;1;Pedagang;1
1669;Y;M;83;2000000;3;4600000;0;Pedagang;6
1670;Y;M;47;1600000;8;4000000;0;Pedagang;0
1671;N;M;99;1900000;16;4400000;4;Guru/Dosen;0
1672;Y;M;41;3000000;3;2500000;4;Wirausaha;3
1673;Y;F;56;2000000;12;3000000;0;Buruh;0
1674;N;F;58;1600000;10;3500000;4;Guru/Dosen;5
1675;Y;F;27;1200000;10;5000000;0;Pekerja Lepas;6
1676;N;F;45;1600000;4;1800000;0;Guru/Dosen;0
1677;Y;M;52;1200000;12;3500000;0;Buruh;0
1678;N;M;91;500000;10;1800000;1;Pedagang;5
1679;Y;M;29;500000;12;4600000;1;Guru/Dosen;1
1680;N;M;70;2500000;10;4500000;4;Buruh;1
1681;Y;F;75;1500000;8;2500000;1;Wirausaha;6
1682;Y;F;98;1400000;20;3000000;4;Wirausaha;6
1683;Y;M;20;1200000;3;4400000;1;Pedagang;8
1684;Y;F;28;3000000;3;2500000;4;Buruh;8
1685;N;M;23;1200000;3;1200000;1;Pedagang;0
1686;Y;M;75;1600000;6;2300000;5;Pekerja Lepas;6
1687;Y;F;58;2000000;8;4600000;2;Pedagang;5
1688;N;M;26;1200000;16;1800000;4;Buruh;0
1689;Y;M;69;500000;3;3000000;0;Wirausaha;7
1690;Y;M;34;2500000;5;4600000;4;Pedagang;4
1691;N;M;41;1600000;10;1200000;1;Pedagang;4
1692;Y;M;37;3000000;4;4500000;5;Pedagang;2
1693;N;M;28;500000;10;2000000;1;Pekerja Lepas;6
1694;N;F;95;1200000;5;2000000;3;Wirausaha;4
1695;Y;F;84;1200000;4;4800000;1;Wirausaha;1
1696;Y;M;76;1200000;5;2300000;0;Pedagang;1
1697;Y;M;62;1800000;4;4600000;0;Pekerja Lepas;4
1698;Y;M;63;2500000;3;5000000;4;Pedagang;8
1699;Y;F;64;1200000;8;4500000;1;Pedagang;0
1700;N;F;92;500000;5;2000000;0;Pekerja Lepas;4
1701;N;M;76;2500000;10;4000000;3;Buruh;6
1702;Y;M;52;1200000;4;4000000;3;Pedagang;3
1703;N;F;33;1500000;8;1200000;0;Pedagang;0
1704;N;M;26;500000;12;1800000;1;Pedagang;2
1705;N;M;98;1200000;20;5000000;1;Guru/Dosen;1
1706;Y;M;89;1200000;8;4400000;1;Pekerja Lepas;8
1707;N;F;97;500000;3;4000000;5;Buruh;6
1708;Y;M;56;1900000;4;2500000;0;Pekerja Lepas;5
1709;N;F;72;500000;5;3500000;3;Guru/Dosen;2
1710;Y;F;80;1900000;12;2500000;4;Pekerja Lepas;5
1711;N;M;85;1200000;3;4400000;5;Guru/Dosen;1
1712;Y;M;56;500000;4;5000000;5;Wirausaha;6
1713;Y;F;61;1800000;10;4500000;1;Pedagang;1
1714;N;M;90;1800000;4;1200000;1;Buruh;6
1715;N;F;69;1500000;10;1800000;2;Wirausaha;1
1716;N;F;96;1200000;20;4800000;3;Buruh;6
1717;Y;M;48;500000;16;2500000;3;Wirausaha;3
1718;Y;F;83;500000;4;4800000;4;Pedagang;0
1719;Y;F;24;1400000;6;4500000;0;Guru/Dosen;7
1720;Y;F;29;500000;5;3500000;1;Guru/Dosen;1
1721;N;F;32;1000000;10;2500000;5;Buruh;1
1722;N;M;24;1200000;4;2000000;5;Pedagang;4
1723;N;F;35;1200000;8;2000000;1;Buruh;1
1724;Y;M;30;1000000;12;2300000;4;Wirausaha;4
1725;N;M;36;500000;10;4400000;5;Guru/Dosen;1
1726;Y;M;81;1600000;4;4800000;4;Pekerja Lepas;8
1727;Y;M;34;500000;16;4800000;3;Wirausaha;0
1728;N;F;22;1200000;10;2000000;5;Guru/Dosen;2
1729;Y;M;64;3000000;8;2500000;0;Pekerja Lepas;6
1730;N;F;88;1400000;12;1500000;0;Pekerja Lepas;1
1731;Y;M;76;500000;10;4000000;1;Pedagang;0
1732;N;M;65;3000000;3;1500000;0;Pedagang;4
1733;Y;M;65;2500000;12;4600000;4;Pekerja Lepas;1
1734;N;M;29;1800000;4;1200000;2;Pekerja Lepas;2
1735;N;M;83;700000;5;1200000;0;Buruh;0
1736;Y;M;57;500000;16;4400000;2;Buruh;6
1737;N;M;56;1400000;4;1200000;2;Wirausaha;0
1738;N;M;30;1500000;12;4800000;3;Guru/Dosen;1
1739;N;F;100;1800000;10;2000000;2;Pekerja Lepas;0
1740;N;M;98;2000000;12;1200000;4;Pekerja Lepas;1
1741;Y;F;36;3000000;3;3000000;1;Wirausaha;7
1742;Y;M;38;1500000;8;4000000;0;Buruh;7
1743;Y;F;47;1200000;4;2300000;0;Pedagang;1
1744;N;M;75;1200000;10;1500000;5;Wirausaha;3
1745;N;M;57;3000000;4;4800000;2;Guru/Dosen;3
1746;N;F;42;700000;12;1800000;5;Guru/Dosen;0
1747;Y;M;83;1600000;3;4400000;4;Wirausaha;4
1748;N;F;70;1500000;16;2000000;0;Buruh;2
1749;Y;F;97;1900000;5;5000000;0;Pedagang;2
1750;Y;M;47;3000000;20;4500000;4;Pedagang;2
1751;Y;M;34;1200000;3;4400000;1;Pekerja Lepas;8
1752;Y;M;92;700000;10;2500000;2;Pedagang;4
1753;N;M;60;1600000;20;1800000;0;Pekerja Lepas;0
1754;Y;F;55;2000000;16;4800000;1;Pekerja Lepas;1
1755;N;F;42;500000;12;1200000;2;Pekerja Lepas;6
1756;Y;M;61;1800000;12;4400000;4;Pedagang;2
1757;Y;M;65;1200000;8;4500000;2;Pekerja Lepas;7
1758;Y;M;27;1600000;8;4000000;5;Pedagang;5
1759;N;M;93;1200000;6;1500000;3;Pekerja Lepas;2
1760;N;M;37;1500000;20;4500000;4;Buruh;1
1761;Y;F;98;500000;5;5000000;4;Pedagang;2
1762;N;M;30;700000;4;4000000;5;Buruh;4
1763;Y;F;46;1900000;6;3500000;3;Pekerja Lepas;8
1764;N;M;39;700000;20;1200000;1;Pekerja Lepas;7
1765;N;M;30;500000;12;4600000;5;Buruh;5
1766;N;M;99;1000000;4;2300000;1;Buruh;1
1767;Y;F;74;500000;3;4500000;5;Pedagang;1
1768;N;M;43;1800000;10;1500000;2;Pekerja Lepas;1
1769;Y;F;51;1200000;10;5000000;2;Wirausaha;6
1770;Y;F;63;700000;20;2300000;2;Pedagang;6
1771;Y;M;43;1800000;6;4600000;0;Pekerja Lepas;5
1772;N;F;24;1600000;5;1200000;3;Pekerja Lepas;3
1773;N;M;26;500000;10;1200000;2;Pedagang;5
1774;Y;M;30;3000000;16;4600000;1;Pedagang;6
1775;Y;M;85;1200000;10;3500000;3;Pedagang;0
1776;N;M;42;1400000;10;2000000;3;Pekerja Lepas;6
1777;Y;F;25;700000;8;4000000;0;Pedagang;6
1778;N;F;70;1200000;4;3500000;3;Guru/Dosen;6
1779;N;M;52;1800000;4;1500000;1;Pedagang;3
1780;Y;M;67;2500000;10;4000000;3;Pedagang;5
1781;Y;M;78;1800000;4;3500000;3;Pedagang;0
1782;Y;M;86;1500000;12;4400000;5;Wirausaha;0
1783;Y;M;20;1500000;3;3500000;0;Pedagang;0
1784;N;M;76;1400000;12;1200000;1;Wirausaha;1
1785;N;M;89;1200000;16;3500000;2;Guru/Dosen;1
1786;Y;F;83;1400000;10;4000000;5;Wirausaha;6
1787;Y;M;44;3000000;10;2300000;5;Pedagang;8
1788;N;M;62;1200000;5;1200000;4;Pedagang;6
1789;Y;M;99;1500000;10;3000000;3;Pedagang;4
1790;Y;M;30;1500000;4;4800000;2;Pedagang;0
1791;N;M;40;1800000;12;1200000;0;Pekerja Lepas;0
1792;Y;F;34;2000000;12;4600000;4;Pedagang;7
1793;N;M;37;700000;16;4500000;5;Buruh;0
1794;N;M;85;1500000;16;4400000;0;Buruh;6
1795;N;M;29;1200000;8;1800000;3;Guru/Dosen;2
1796;N;F;73;1000000;5;1500000;1;Guru/Dosen;3
1797;N;M;31;1200000;16;1800000;0;Pedagang;1
1798;N;M;90;1200000;6;2000000;0;Buruh;0
1799;Y;M;33;500000;16;3000000;2;Pekerja Lepas;8
1800;Y;M;88;500000;16;4400000;2;Pedagang;3
1801;Y;F;64;2000000;8;4800000;1;Pedagang;6
1802;Y;M;20;1200000;10;4600000;0;Pedagang;2
1803;Y;M;60;1400000;16;4400000;1;Pedagang;0
1804;N;M;92;1200000;6;4800000;0;Guru/Dosen;4
1805;N;F;52;1200000;10;4600000;3;Buruh;5
1806;N;F;88;1600000;10;5000000;3;Guru/Dosen;2
1807;Y;F;28;500000;4;4600000;2;Guru/Dosen;6
1808;N;M;75;1200000;20;1200000;4;Pedagang;8
1809;N;M;82;700000;12;2000000;2;Pedagang;4
1810;Y;M;35;3000000;8;4000000;5;Wirausaha;0
1811;N;F;50;3000000;4;3500000;3;Buruh;5
1812;Y;M;83;2000000;20;3500000;1;Pedagang;2
1813;N;M;86;1200000;8;4500000;1;Buruh;0
1814;Y;M;98;1900000;16;4600000;2;Wirausaha;3
1815;N;M;100;1400000;3;1200000;5;Pekerja Lepas;6
1816;Y;F;42;2500000;4;4400000;3;Buruh;6
1817;N;F;81;1500000;4;1200000;1;Guru/Dosen;8
1818;Y;M;82;1600000;8;5000000;1;Wirausaha;2
1819;Y;M;80;2000000;4;4000000;0;Wirausaha;1
1820;N;F;46;1900000;4;1200000;5;Pedagang;1
1821;N;M;63;1200000;20;1500000;4;Wirausaha;1
1822;Y;M;26;1900000;10;4000000;0;Pekerja Lepas;4
1823;Y;M;82;1600000;6;5000000;4;Pedagang;1
1824;Y;M;64;1200000;6;3000000;4;Pedagang;2
1825;Y;M;43;1400000;10;5000000;1;Pedagang;1
1826;Y;F;31;3000000;20;2500000;4;Guru/Dosen;6
1827;N;M;100;2000000;4;4500000;3;Buruh;2
1828;N;M;20;500000;16;1500000;3;Guru/Dosen;1
1829;Y;F;91;1400000;4;3000000;0;Pekerja Lepas;6
1830;N;M;33;500000;16;1500000;3;Guru/Dosen;1
1831;N;M;95;1400000;16;2500000;3;Guru/Dosen;1
1832;Y;M;38;1500000;10;2300000;0;Pedagang;6
1833;Y;M;68;1000000;6;3500000;1;Wirausaha;5
1834;Y;M;60;1500000;6;4500000;3;Wirausaha;0
1835;N;F;86;1500000;3;1500000;1;Pekerja Lepas;6
1836;Y;M;27;1200000;8;2500000;5;Guru/Dosen;7
1837;Y;M;84;1200000;12;2500000;3;Pedagang;7
1838;N;F;27;500000;8;2000000;3;Guru/Dosen;5
1839;Y;F;50;500000;20;4500000;0;Wirausaha;5
1840;N;M;38;1900000;8;1800000;0;Wirausaha;5
1841;Y;F;26;2000000;10;2300000;0;Buruh;1
1842;N;M;94;500000;4;2000000;5;Pedagang;1
1843;N;F;70;1900000;12;3000000;3;Guru/Dosen;1
1844;N;M;71;1200000;6;2300000;1;Guru/Dosen;7
1845;N;M;47;2000000;20;2300000;4;Buruh;5
1846;N;M;98;1400000;4;1200000;2;Pekerja Lepas;2
1847;Y;M;28;1800000;12;3500000;1;Pedagang;8
1848;N;M;62;1200000;10;1500000;3;Buruh;0
1849;Y;M;91;1800000;8;3000000;3;Pedagang;5
1850;N;F;68;500000;10;1500000;4;Pekerja Lepas;3
1851;N;F;99;1600000;10;1800000;5;Pedagang;0
1852;N;M;38;2500000;6;3500000;2;Guru/Dosen;2
1853;N;M;100;2500000;5;4500000;2;Buruh;2
1854;N;M;30;1500000;4;1500000;3;Buruh;4
1855;Y;M;96;1200000;5;2300000;5;Wirausaha;6
1856;N;F;71;2000000;10;1500000;4;Wirausaha;8
1857;N;F;93;1200000;10;1200000;1;Pekerja Lepas;7
1858;Y;F;33;500000;12;2500000;0;Guru/Dosen;6
1859;Y;F;31;1500000;16;4600000;4;Guru/Dosen;6
1860;Y;F;38;1500000;20;4600000;1;Pedagang;3
1861;N;F;85;3000000;3;4600000;5;Guru/Dosen;6
1862;Y;M;43;1800000;4;4800000;0;Guru/Dosen;1
1863;Y;M;82;3000000;16;4800000;2;Pedagang;1
1864;Y;F;58;1800000;4;4600000;5;Pedagang;3
1865;Y;M;21;2500000;10;4000000;0;Pekerja Lepas;6
1866;Y;F;56;1900000;16;4000000;3;Pedagang;7
1867;Y;M;29;700000;20;4600000;2;Wirausaha;6
1868;Y;M;99;2500000;4;2300000;2;Pekerja Lepas;5
1869;N;M;81;1500000;16;4500000;1;Guru/Dosen;0
1870;Y;F;25;1200000;16;4600000;4;Pekerja Lepas;1
1871;Y;M;96;2500000;16;5000000;5;Wirausaha;0
1872;Y;M;75;1200000;20;3500000;0;Pedagang;7
1873;Y;M;98;1400000;12;5000000;2;Pedagang;8
1874;Y;M;81;1500000;4;2300000;3;Pedagang;4
1875;Y;M;20;1900000;10;3500000;1;Pedagang;0
1876;Y;F;28;1900000;10;3000000;1;Pedagang;4
1877;Y;M;98;1500000;10;4600000;5;Pedagang;2
1878;N;M;31;500000;6;5000000;5;Guru/Dosen;1
1879;N;F;69;1900000;4;4800000;2;Guru/Dosen;6
1880;N;F;57;500000;5;2000000;3;Pedagang;6
1881;Y;F;29;1500000;16;4500000;0;Pedagang;1
1882;N;F;47;1800000;10;4600000;5;Guru/Dosen;0
1883;Y;M;78;3000000;3;4400000;5;Pedagang;7
1884;Y;F;62;1000000;5;5000000;2;Pedagang;3
1885;Y;F;46;3000000;10;2500000;4;Pedagang;5
1886;N;M;59;1200000;16;1800000;1;Pedagang;5
1887;Y;F;54;700000;8;4500000;2;Wirausaha;1
1888;Y;F;99;700000;3;2500000;4;Wirausaha;0
1889;N;M;95;2000000;10;2000000;5;Pedagang;0
1890;N;M;57;1500000;6;2000000;3;Guru/Dosen;0
1891;Y;M;61;1800000;12;3500000;3;Pedagang;0
